nfall(0),nfall(0),nfall(0),nfall(0),nfall(1),nfall(1),nfall(1),nfall(2),nfall(2),nfall(2)
0.009007109956822572,0.013989715345974683,0.014636993758690608,0.012315959193203612,0.001186639006575542,0.001214508787643113,0.004240859762895602,0.0047853347563434415,0.0078111968522339295,0.007928442031714764
0.010242283814436181,0.04455451279369079,0.01774781794302114,0.007250188443793007,0.001342814850397234,0.0014244240408724754,0.005219946225048417,0.0032795553313057922,0.007283143579836638,0.007607143737125137
0.006928204591248932,0.01859174119600595,0.023800370451254348,0.0035615973220192833,0.0013678573890534165,0.00031990591641322557,0.006474684433677411,0.011120770592792787,0.006102318492877938,0.0030465139510746078
0.012091959064023215,0.013574648888748875,0.013326634302635615,0.003061793116303607,0.0011732360370892234,0.001031619616725558,0.003915941152218218,0.013457783723630937,0.00466627473218829,0.012765881867625315
0.0077894413598711175,0.045147848465870825,0.04529033975447508,0.003282666718144751,0.00029125580102456214,0.000490745172563306,0.009049355322246946,0.012384731785961138,0.012992097910564385,0.013243384233220802
0.00338987256233717,0.008486757191466162,0.01905706139724953,0.003469649877253631,0.0006190259079458164,0.0005777829814462246,0.002359738857040817,0.004948037266151443,0.011417336731798037,0.006892458327984527
0.01855164398422176,0.03890502130109744,0.038147830733612505,0.007740059729516266,0.0014669555513763986,0.0004712717763254335,0.008996564277537651,0.011680071499455763,0.009874492423386371,0.002783823988886972
0.004695103465093749,0.03657338250942262,0.03386767915575839,0.013608327977164193,0.0013918922106381014,0.0003680276417935273,0.005033397556741802,0.004399803821183201,0.004012712875837862,0.0032667646947559855
0.004974764641268364,0.014568853037827461,0.032321180602475075,0.008311483619556755,0.0009295529640456697,0.00030115419901881736,0.003998973635066828,0.005030088397062768,0.003414144644322631,0.003202772523343501
0.01754919832475063,0.03077957460118089,0.007114154566794081,0.007243188550015389,0.0017241376256842114,0.0011750310318576849,0.0031538695875932563,0.0060591184374083114,0.002899578232744554,0.010617197567298979
0.007719474870173423,0.027499944581479092,0.04576225639434825,0.00552274421867591,0.0012543923325923838,0.0016829157166235998,0.004477798507627908,0.017258650621485978,0.005802211316792242,0.0066806846842143155
0.004637505379821315,0.01528739434420528,0.014530834797020439,0.0029618336469488566,0.00032303164238630007,0.0006904419567600321,0.008256744384373085,0.015201402796449133,0.007700936942646658,0.009899532943651366
