cfall(0)_pft0,cfall(0)_pft1,cfall(0)_pft2,cfall(1)_pft0,cfall(2)_pft0,nfall(0)_pft0,nfall(0)_pft1,nfall(0)_pft2,nfall(1)_pft0,nfall(2)_pft0,krb(0)_pft0,krb(0)_pft1,krb(0)_pft2,krb(1)_pft0,krb(2)_pft0,micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
0.06472877485494487,0.07948861939329877,0.01750465531407958,0.004238376799478285,0.0003397662959338962,0.007365795632641421,0.001891383072334811,0.0006659520274324623,0.007147605342392347,0.004560579323445943,-3.5889052115427384,-2.0677758107767725,-4.055810818452735,-3.8183937380946475,-1.5592346933302839,0.891028001564139,0.004903746237331616,0.0009362287531776057,2.9249125793900538e-05,9.889954890804783e-07
0.06581150947868954,0.07903313710830048,0.016714980919994387,0.00433646892152699,0.0003424363842338972,0.007683281941482766,0.0019485679394557174,0.0006437356327550145,0.007069105458338246,0.004701413663466014,-3.8332707348516815,-2.178324993542886,-4.220359179331796,-3.6826690125161057,-1.5064460557141193,0.8894229266131259,0.004625528069144472,0.000904245413250192,2.927454662453675e-05,1.029285996852745e-06
0.06334394462613605,0.07881442306250448,0.01709759803216399,0.0043479948215672535,0.0003630866211587193,0.0077335858976712605,0.0018164769368779817,0.0006869499471392182,0.007062570668885822,0.0046406789596828485,-3.879611096823541,-2.1693216774902124,-3.974105145187976,-3.6920101637922627,-1.4791596513726282,0.859343679543973,0.00484684965240062,0.0009216760331854771,2.8557297384258804e-05,1.0357706683375134e-06
0.06169790838910287,0.08414793259875472,0.016677402056231846,0.004047343755282012,0.0003527528594737376,0.007532476444899098,0.001888027388731397,0.0006552331429703727,0.006908510631893814,0.004745256756206197,-3.797329141171409,-2.1037527427702014,-4.253205269997386,-3.7162815377372107,-1.4910910778108248,0.8775821972361858,0.004996684622522471,0.0009368565514709515,2.9867270083592058e-05,1.014840248611599e-06
0.06202453051051375,0.0807248716743902,0.016616280868088022,0.004280310568627903,0.0003476558165987809,0.007902550967721557,0.0019238004195902385,0.0006786125804809997,0.007170344720878828,0.004798764797030954,-3.6890023081182832,-2.112532325806353,-3.971071825814851,-3.6954743579779965,-1.5171309720121,0.8216056497739451,0.0046606834367271,0.0009522940512369965,3.025120954331227e-05,1.0360280134536302e-06
0.06144453977060231,0.08373008614730212,0.01675474286111052,0.004113781602221799,0.00036321349557506247,0.007934669263498485,0.0018871291312786787,0.0006721446876188947,0.006923368713310892,0.004654307328847866,-3.627817340609502,-2.0222050250727572,-4.137596471782763,-3.790659367714636,-1.4616120230110663,0.8834844868798518,0.004955428079475732,0.0008834559435561908,2.8768012740777525e-05,1.039345653699797e-06
0.06009079904828101,0.08223339569202663,0.01760209058539708,0.004097640040915102,0.00034429738359054006,0.0072241259001362655,0.0018220491527099834,0.000643151893118503,0.006970046837659843,0.0045002186504124915,-3.898028618053892,-2.0673804828562314,-4.078910478969731,-3.7956900284605792,-1.4913770892255485,0.8824800142048244,0.005098958800953351,0.0009640163804913522,2.967363890102126e-05,1.0192666488386387e-06
0.06542489418685572,0.07676994785690221,0.01628028590013211,0.004094153739636784,0.0003559496416368268,0.007279550557750196,0.001973467037731239,0.0006629708378773839,0.006810717471972562,0.004616101337813239,-3.8488323429846556,-2.045774661195983,-3.9516991190369786,-3.8132746378990654,-1.549339994960041,0.8403328181059254,0.004931094581923966,0.0009086521752152062,2.9837762046525884e-05,9.584885198542338e-07
0.06296940814618539,0.0819654403688415,0.016776574895836446,0.004184101919380494,0.00034828489595094183,0.007499936812304548,0.0018709971670261643,0.000675026217951757,0.006871049942634055,0.004703175511702212,-3.884699398449789,-2.1456089010877175,-4.273186936526877,-3.66846739350194,-1.464194191843413,0.87655172544079,0.004903057885444917,0.000916374752311927,2.9371935936866495e-05,9.907945931538035e-07
0.06489343262529215,0.07680239981914902,0.01718541124031064,0.0041412875503489014,0.00036396905985715977,0.00786326319942237,0.0019548898212127953,0.0006695541105232153,0.006880969067043987,0.00476004215414636,-3.786448966479272,-2.055736340786606,-3.968730977093402,-3.6949638322623004,-1.4639097608096754,0.856020768285732,0.004813219335717671,0.000920912502651334,2.9872602642649187e-05,9.588769891661871e-07
