nmax,nmax,nmax,nmax,krb(0),krb(0),krb(0),krb(0),krb(1),krb(1),krb(1),krb(2),krb(2),krb(2)
1.2927003950720084,1.3579135319296696,3.6078948556918427,2.947762852956993,-4.270736518647718,-1.7662103368637254,-12.271499134336205,-8.13144047096554,-10.036137106873333,-0.4659479527155881,-3.4614202936037586,-1.8564196052806636,-14.938632257205677,-4.626724179064373
2.0618928999905957,1.8349701337135595,4.777064638622203,1.0772176668714666,-0.7887647970977518,-17.029688249922756,-3.693182172313964,-14.50914119394475,-13.021023684128526,-15.6865215446925,-8.348270554626517,-13.072898604593306,-6.917878514056204,-19.688618372952888
1.2574995340601585,1.3986446109249946,2.6759747412409243,4.259184690639904,-2.325259583470185,-15.128266272788075,-8.570042487643622,-4.70953664541725,-14.252294344599788,-11.860746038948163,-9.572913366554294,-17.31599055647985,-19.482952354856973,-16.959164394566162
3.5074144850141336,1.2944730461347267,1.7587854594005132,2.351415542781215,-18.45038572030331,-16.185184503883477,-1.8657311992281294,-19.615947268683005,-6.996704708930194,-12.35026227478782,-6.614290085295815,-8.28503476476825,-15.55237478834258,-3.140531197289569
2.9677615304374267,4.2901440756538864,2.624050144752877,4.938742215660956,-4.667261765824204,-0.77759091825979,-9.76490306969381,-10.573546467415062,-4.96646919442737,-2.482203866032741,-0.8134986622753964,-13.541417069953255,-4.105778980531486,-15.80815260705282
3.182297386981781,1.7193925936367966,2.3895894470013554,4.7254334688258375,-17.092795074515585,-7.41522218680959,-8.200209968744675,-17.59730678109117,-13.51301702900064,-8.796668060146212,-16.275145681129043,-4.067589237384974,-0.6540854602584787,-15.726287940746806
1.7476478591623037,2.8197402871897785,3.9910611085601286,2.1264024409410056,-19.60438981692412,-9.229709502145411,-0.9636487014305786,-12.213590577401785,-11.639322371756302,-0.7188558294306446,-6.177308528628107,-5.688478735441711,-8.802230093115755,-0.6052767038214952
3.7554659377022244,4.580131006420678,3.7975154629328847,3.940463299361584,-14.220822649369296,-13.960773909525003,-4.418605473437021,-14.095544845518997,-8.800875591049522,-15.037889012956631,-3.7420307218995212,-17.80102311056897,-3.494011868742877,-8.005676969898724
1.7476381393083091,3.1681415420244727,2.129995347389362,2.2938693389219864,-13.004591972222082,-18.739946985250814,-0.3793624804117961,-19.372460900188642,-6.81631222363286,-12.612569809627132,-7.144395210160692,-12.910659763557083,-6.592362139448712,-5.488213361579621
3.7622105615985793,1.455847925432609,3.6275729386187385,2.1199501978163893,-19.426852725670262,-11.744869629409816,-11.37249225420436,-10.703234746286315,-5.9739991087247475,-13.854008198065063,-13.725917789231941,-18.795010100798915,-6.332257801753311,-8.70026078114828
2.3977004507751523,3.8207559156694186,3.1494309969075087,2.8769797834821587,-9.824641581143585,-7.336672307185577,-6.865948168965472,-14.24973939909973,-17.199207068516053,-16.882979794308678,-7.276121370530268,-2.6298216132341956,-11.85102406092352,-16.626548809443698
4.0264099931754185,4.329957897677794,4.522329772483866,3.427325715654933,-2.8715016681771175,-19.69324232687669,-17.86600754478648,-18.157736265663235,-5.8191667833308145,-18.615322507482777,-10.12234898792049,-10.593132717137847,-13.816999881191006,-2.6789371181522164
1.681732807519984,2.4098511375969593,4.096686000091717,1.121689257573137,-6.6082870350972645,-3.7536852454047462,-1.4478700071204749,-2.561696854219452,-13.644256075009665,-8.331353587673245,-18.46185948630573,-14.868386929394628,-18.124974662924604,-13.727772925936119
4.500748853834915,2.3886673586971705,3.2475924120057056,2.7335233924597633,-10.867561166455168,-0.7055161684524904,-14.106526081549227,-7.516243056488891,-11.640752875369005,-18.783190997151046,-10.262316450677705,-3.814467752002347,-18.0348159232344,-18.615122236813452
