cfall(0)_pft0,cfall(0)_pft1,cfall(0)_pft2,cfall(0)_pft3,cfall(1)_pft0,cfall(1)_pft2,cfall(2)_pft0,cfall(2)_pft2,nfall(0)_pft0,nfall(0)_pft1,nfall(0)_pft2,nfall(0)_pft3,nfall(1)_pft0,nfall(1)_pft2,nfall(2)_pft0,nfall(2)_pft2,krb(0)_pft0,krb(0)_pft1,krb(0)_pft2,krb(0)_pft3,krb(1)_pft0,krb(1)_pft2,krb(2)_pft0,krb(2)_pft2,micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
0.052609072714361216,0.0045536932814307955,0.03894115179114849,0.01076867426308979,0.00047057410903555177,0.023894039765610567,0.0006463368303969609,0.007942981020199767,0.02947570066291388,0.019434526933705627,0.012160872889397475,0.019995231213496754,0.03877243305183562,0.022455833232203126,0.01872342508144684,0.042120153644647676,-8.367152395424075,-5.291504564377552,-2.9585368903576983,-3.1345241315150707,-7.089637125302742,-5.950151388483017,-9.260015091952091,-2.295748396760898,0.1689942524334767,0.8401386699335697,0.8748725069420088,0.4833185131494037,0.00021586093055398704
0.050913935747695996,0.0044229533011710676,0.03753465310054898,0.011209013719329551,0.0004780136709327407,0.0248243937636024,0.0006284127622196206,0.007561250062807499,0.029157845861665567,0.0191018611651053,0.012305304759513778,0.019163461584050096,0.03653073215904447,0.02345730082299527,0.01964114536914033,0.04136330464698132,-8.776745161593038,-5.212319634837991,-2.960587691418705,-3.257600030772333,-7.0477889121447435,-5.966163242632124,-9.73563888634342,-2.1496063839569874,0.1587825957035675,0.879246154798687,0.8061922040395572,0.5060109121520537,0.000204247397008897
0.053443075608636266,0.004586614899883988,0.03806848188464206,0.01144811202326123,0.00046398566808778587,0.02501992214600019,0.0006646236284141881,0.008057149122981094,0.02844761934018848,0.019614679982349593,0.012088004683448892,0.01934692012695421,0.03736137102102568,0.022046017095737506,0.018656453240861123,0.04157915221115508,-8.76510798672659,-5.293310442486661,-2.882871267712599,-3.1315230886578758,-7.100678075742244,-5.881178794799502,-9.623075534474511,-2.1520444671152776,0.17001191613250824,0.8406351210684999,0.8168213936311239,0.5282299717669979,0.00020284167485878573
0.05153421567594665,0.004408498768494731,0.036938263406236564,0.011479653626417508,0.0004606092353366354,0.024965266312361595,0.0006514843011946993,0.007689201671392366,0.030545911132177455,0.018207454044527404,0.011801777286851872,0.01886369548208673,0.03754383555349122,0.022658335584330273,0.0188300126234032,0.04184100210149122,-9.029657798189806,-5.09501132563707,-3.020560775416623,-3.2778472956729123,-7.026963436616804,-5.605420279904413,-9.045095912131234,-2.1542378084332,0.16686841000068775,0.8704369803943024,0.832163402412344,0.512931067065317,0.00020357772779862319
0.050203250795534754,0.004696278122804383,0.03598688883000331,0.01114833954004978,0.0004982737477043025,0.024335811769075517,0.0006685709566996651,0.00796631372187727,0.02955602779847894,0.018819306157343552,0.011713334072716929,0.019043646744055558,0.0392147193479071,0.022619310397015317,0.01873456818236381,0.040237829333540295,-8.755105132810838,-4.998018458806292,-2.8932393051135628,-3.2129438037097073,-7.324216431121051,-5.719713938552404,-9.85685465031352,-2.2073423765627904,0.16692781039427548,0.8267978387302902,0.80498618068218,0.4965926164253501,0.0002166988882655129
0.050454950180383776,0.004517259558860128,0.037018613134352826,0.011307830284231615,0.00047302560260061434,0.024648128901035404,0.0006271682604326463,0.007686406224300146,0.029081719897948288,0.019811331772097766,0.012358764433444703,0.019854345100702823,0.0379247780905969,0.02282020932354196,0.019524312513266157,0.04111811841814103,-8.960123522186706,-5.137771425739993,-2.879362440166044,-3.1522501519694446,-7.000383033941662,-5.994312614366095,-9.421053308284835,-2.1905678887594333,0.16851247273954773,0.8505779139575392,0.8252964845627265,0.519749618229842,0.00020156101553111532
0.04999325794999144,0.004676289044407118,0.03712343011233669,0.010735327053394094,0.0004993382016368546,0.02550032530351651,0.0006726450559843617,0.007897026732235716,0.028910496029372377,0.019249298999789523,0.012204100271535484,0.019879439058642985,0.035915004234450036,0.02272372977359075,0.019154563386371767,0.041788304880419125,-8.923225086764479,-5.182452435223349,-3.0004015273622135,-3.059371912868758,-7.4503481296639045,-6.0046097977266175,-9.125240778117819,-2.1966757293651673,0.16702241342995522,0.8855188640563644,0.8453636483229943,0.5238461210163028,0.00021514982279219493
0.04855681142645965,0.004418767968767888,0.03608191023990578,0.010645421697952025,0.0004715380563676801,0.02558592859722494,0.0006669693882255308,0.007689139866548022,0.02852709472310442,0.01862658990626843,0.012319012525497941,0.01946139624685602,0.03721165716086622,0.022315358727338194,0.01804225103518539,0.04029511251204246,-9.21080668446579,-5.20970849396547,-3.018696506572753,-3.288121572206662,-6.967882213986312,-5.645567620838949,-9.711581038385937,-2.1177029337638817,0.1708751082819325,0.8250122262236759,0.8067359810373661,0.4880179462708877,0.00021216636922303934
0.04973104636197883,0.004595543591902012,0.03913309421431884,0.010866703502339963,0.0004903377622615846,0.024040041577910152,0.0006257539968680332,0.007929909355674824,0.029017770528159938,0.018688696562313242,0.01202045180293275,0.019332653050819167,0.038108256521026986,0.023312474422300406,0.019083479745310432,0.040384018257230106,-8.832210307175886,-5.131415145220599,-3.0325062058632626,-3.1606394344890507,-7.371086145454809,-5.668526917291252,-9.940060846000247,-2.2501972264164265,0.1631873369339619,0.8339047839432737,0.8720211332577255,0.492022604638589,0.00021068487186722497
0.05312502392631015,0.0043536161773075595,0.03738290666329956,0.010813380146760844,0.0004688886777281885,0.025651187897815942,0.0006680656845506877,0.008025499068677599,0.029637606281741623,0.01944338135473255,0.011560365190996704,0.02007379041448625,0.037058417902799755,0.023007050127143384,0.01938103461085405,0.041298460190234,-8.409877713673232,-5.0874539214894705,-3.021332862557755,-3.0378466360315475,-7.655942922965615,-6.1008908744270745,-9.14769107490874,-2.091069205169529,0.1603835550591652,0.8739590781526032,0.8543768947234347,0.5115835803438247,0.00021032440517890439
