krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(1),krb(1),krb(1),krb(2),krb(2),krb(2),krb(2),krb(2)
-2.1948254088169743,-2.304885523991634,-1.27735666976338,-0.532619025832314,-0.5099067230220933,-4.769743339985055,-4.815303895543375,-1.3993309858407579,-4.588152391752952,-4.609935841584846,-3.7886922884463874,-6.959137382503394,-5.569013277458131,-8.054812358510603,-1.9795944442799516,-5.028737555240374
-2.8939080181655563,-0.9625493362693284,-0.9644835922699876,-0.8980945684217184,-1.5728197375031592,-5.306153257487434,-3.9046662914111017,-2.6894604169250433,-5.293417783877254,-3.087610901699895,-5.643044194347548,-11.90588027501435,-3.747567395140636,-5.485376893059708,-7.6293865233793365,-9.832299872242372
-2.0043659444604143,-1.4114717540472108,-0.35649835523221857,-0.815399432372888,-0.6879733275173714,-2.1106271321361243,-3.585945114643483,-2.455351556787056,-11.812238409083868,-4.010166995678281,-2.723276212002962,-2.424122063983675,-1.8194517271652522,-4.160642236454507,-6.7327087092464275,-6.859786594813196
-0.9490750925693389,-2.396730855630608,-1.1621524322756582,-0.3602278903912101,-0.5247108216740833,-7.079607241704732,-1.0389455073985148,-4.483091327705026,-2.003566782321158,-10.195783068550861,-5.9181045374028365,-6.917730109295247,-8.533733384075749,-2.3098773473348846,-6.8672635855370565,-8.522776291918873
-1.8706380522291317,-0.6912207409254156,-0.5078455944758836,-0.46105357019257304,-0.7428208903771797,-5.419748366149335,-1.6090894971486103,-4.987160873456641,-12.487461009839915,-9.00444205547511,-9.181073335609337,-9.527703308439117,-2.607313600189916,-6.449898472559096,-3.56216777695945,-2.0279200579308148
-2.1374286649945446,-2.242921959782193,-1.2317390345928096,-0.9437438928090043,-0.7687449497787942,-5.411681377505101,-2.5945020464476087,-3.3350323734965506,-2.340708589245727,-7.560251006451711,-2.043347364958935,-4.5950508994330965,-6.275421742841135,-9.998372762764728,-2.317731879096284,-4.355353403331366
-3.4503929063136893,-0.6418155273531686,-1.4484010429295728,-0.9111891386814661,-0.5225325843267629,-6.174973927448349,-2.3663273997069645,-3.220387476857429,-3.367280857995401,-2.1259336896582903,-9.500513908484706,-11.66260901817951,-2.2697944117553313,-4.590184773814858,-2.075977248012107,-3.4689993713078087
-1.3324767679426737,-1.9442929277431071,-0.45409825652959707,-1.6508773886343566,-0.3372538337845117,-5.567870578587156,-1.5188670345748676,-4.888671506257803,-5.752183962664867,-11.475564092192437,-9.017297664667106,-9.436642161910008,-7.327571361455914,-5.384615027928538,-7.440271036252504,-2.50566712891278
-3.4165215874623946,-2.406524529328959,-1.369578164566599,-1.4152694862820543,-0.3428091241053467,-1.1822952368448254,-1.2545335305605967,-6.283112134136669,-6.634744913443362,-9.83518352778322,-5.6657715856793605,-5.0454415324309485,-3.200482760307728,-3.718018323878946,-5.656010574716982,-4.683482096380965
-2.6277047402327187,-0.5959464842808341,-0.8730797349755006,-0.8627789142625768,-0.4280986595116156,-1.792739680164885,-3.8670971301909716,-4.338842920159389,-13.389685663087473,-1.7744682373195786,-9.474262720423983,-10.277914615420489,-5.746212332023193,-2.417929941420591,-2.676348915912016,-6.946057505793191
-2.008011300409236,-2.309774902525504,-0.5263354018094166,-1.4007077276199826,-0.8959662577265365,-4.475425553097395,-2.020895398797861,-4.189222453030289,-2.5298758784716737,-1.8967747484248951,-4.1978328367576,-7.140872405713294,-6.543440981007588,-8.721531590085384,-2.851792738155953,-2.3319355087430442
-2.3880140099950773,-0.6519275132405522,-1.6378844474828924,-0.6244322312252978,-1.0340298080714923,-3.9172902600851587,-3.7709050638104973,-2.7672731066250904,-3.989090943280698,-8.339135775409849,-3.0223592483561887,-2.89697152442249,-1.9187217415571398,-11.614042378393343,-8.252776970145222,-8.296200957386997
-1.8174092846558487,-1.1264464354954054,-0.823006206674303,-1.3270669968940703,-1.4869600549449156,-1.802764613962011,-4.890656162181678,-1.1891908679484267,-10.10179688983769,-3.9259017493957313,-4.5563946277967915,-6.612011651473418,-7.699309374826243,-3.6900844442729763,-2.5666910860849876,-4.256480939505255
-1.7786671370402702,-1.6568259439476893,-0.950395027977387,-1.2506743050586873,-0.8395480755385336,-1.6981489293956766,-2.8563872215119956,-3.1617260620985923,-5.37908589099115,-2.5927932744101367,-5.278467207325247,-10.229555548212684,-11.179021605993006,-6.993460832326133,-7.694942919053755,-6.21567286322338
-2.555179926456597,-0.6968632862012605,-1.5961640309221699,-0.6575089372336689,-1.7427393211653146,-2.340817619509192,-2.2016098043060937,-2.6429455766628074,-9.004031523772854,-6.75673696283449,-4.747741674091298,-5.126455014909574,-5.867954441761702,-10.795352145646454,-7.507796817962804,-3.755690932361339
-2.4827075506394314,-1.2086450683860108,-0.5917788785887412,-0.46664687126898763,-1.3312769063122734,-1.4272672387342473,-3.562547633635966,-2.211630796637108,-8.324108422626463,-4.285020016231081,-2.074764581689564,-6.050908528896053,-4.58334096699066,-10.591335265624789,-8.239238907710966,-9.813630128386073
-1.5726586609519015,-1.5733991843152735,-0.4104785085282773,-1.1977650489385043,-0.49423773687160155,-3.707066640145611,-4.735862215364458,-5.507796616607768,-4.657820666402916,-5.149813567406964,-9.789330607860938,-3.601667613825443,-5.035165433097648,-11.393602599533935,-3.856660146922036,-4.701114677372652
-3.281015829625943,-1.6252508191195545,-1.743521597409216,-0.6417330868630522,-1.4972119413838767,-1.9861575636443645,-3.000133373710292,-2.3721065754462938,-2.2320753819991657,-11.250018288349944,-4.08314910242283,-9.173543928550746,-6.856237829647259,-7.027940875061437,-7.320642670399051,-3.2934287753163733
-1.3428869730055968,-2.3639457108431783,-1.1974077740641649,-1.3405501793122663,-0.5410090826148337,-4.94188307606579,-1.660745578414681,-6.13784847512789,-4.862631001935547,-7.272993487425107,-9.052052156432413,-8.143268646664351,-8.087362154320408,-3.266623401207334,-3.5496206561936865,-2.3222984104355335
-1.1883169458697547,-0.3532545970743852,-1.1868873123312025,-1.728890984552382,-0.654840659384663,-4.539510646213582,-5.056354375479231,-6.290465323073629,-12.322335051555118,-5.406934464658907,-10.304484428399533,-12.727253006613477,-10.468422231937613,-2.6544269016158495,-2.2382380376706354,-8.255368611897683
-1.6500115273409173,-2.1185924101562845,-1.590624200871735,-1.5283889551456022,-0.2671433009684086,-2.072540969232774,-3.7548915060539447,-3.732497745205278,-4.128180070214493,-5.517125654341376,-4.621268767970431,-11.488351548850389,-4.847009507058786,-4.4585938084288514,-6.086399213932756,-8.464771954697708
-0.6379511262718007,-1.1408712591473629,-0.33592084893942775,-1.152220423498516,-1.5661217575857502,-4.933335099980088,-3.12893271265112,-1.059666350668988,-10.40827835949727,-2.2093833466361925,-2.4570634827300113,-3.690610307676699,-6.43126582422963,-6.18476680677936,-2.915166635282766,-4.361190977638978
-2.5061117162044706,-0.8415082854870767,-1.1683125539442591,-1.0234557138721698,-0.7252658900986257,-4.561936779404698,-4.841250987777752,-4.1542781596603255,-8.506010027371051,-11.318648227798414,-5.0009898298739905,-8.568589038517562,-4.546716632445218,-1.791393043058189,-1.6244823215148159,-4.813817976081098
-2.148130139412591,-2.448933030965269,-1.4648173383897878,-1.3224656695518955,-1.092897360464915,-3.556026881098754,-2.680321020643767,-6.627751928809935,-4.717242448196231,-9.663029309353155,-10.399824146643933,-10.37533676269403,-4.479676466086866,-2.953987777939338,-4.954733785811161,-7.227890729895317
-1.947003551335098,-0.7570323207986354,-1.0845300302246017,-1.51601942703136,-1.4830009696950424,-2.630858942653589,-2.6309692970523426,-4.259488720846486,-5.495264004270536,-8.23706378191423,-3.452452890403288,-2.4799707218313474,-11.350188113889569,-2.0669081492965518,-4.655125296832061,-9.757330290884878
-0.5228273645434103,-1.3982669806307242,-0.9354110828418889,-1.2985730095184178,-0.4902294442303481,-5.8417110350884744,-1.5493907287016349,-4.43770268286151,-5.599784790130428,-3.6086536443056403,-9.750155826731957,-3.103330235638028,-1.9671747827266077,-4.362591977770274,-7.39072496695321,-5.941660324493936
-2.2747169337110598,-1.3059913124705975,-1.1243990961566352,-1.3514605357864822,-1.2604121929094259,-3.2174595889121065,-4.32707543109249,-1.676293960492032,-9.243411567159203,-3.119929690168628,-6.050820498333317,-4.728967778697106,-8.850270027235243,-2.865595725722716,-1.9700883269696519,-1.9289838144345088
