name,bounds,initial,cmtnum,pftnum
nmax,"[0.7199999999999998, 13.68]",7.2,21,0
nmax,"[2.8000000000000007, 53.2]",28.0,21,1
nmax,"[1.5199999999999996, 28.88]",15.2,21,2
nmax,"[0.04999999999999999, 0.95]",0.5,21,3
nmax,"[0.2999999999999998, 5.7]",3.0,21,4
nmax,"[1.0, 19.0]",10.0,21,5
nmax,"[0.5, 9.5]",5.0,21,6
krb(0),"[-0.7000000000000002, -13.3]",-7.0,21,0
krb(0),"[-0.75, -14.25]",-7.5,21,1
krb(0),"[-0.1499999999999999, -2.85]",-1.5,21,2
krb(0),"[-0.15999999999999992, -3.04]",-1.6,21,3
krb(0),"[-0.3799999999999999, -7.22]",-3.8,21,4
krb(0),"[-0.3799999999999999, -7.22]",-3.8,21,5
krb(0),"[-0.06999999999999995, -1.33]",-0.7,21,6
krb(1),"[-0.9599999999999991, -18.240000000000002]",-9.6,21,0
krb(1),"[-1.0949999999999989, -20.805]",-10.95,21,1
krb(2),"[-0.9900000000000002, -18.810000000000002]",-9.9,21,0
krb(2),"[-1.0, -19.0]",-10.0,21,1
krb(2),"[-0.5, -9.5]",-5.0,21,2
krb(2),"[-0.8499999999999996, -16.15]",-8.5,21,3
