nfall(0),nfall(0),nfall(0),nfall(0),nfall(0),nfall(0),nfall(0),nfall(0),nfall(1),nfall(1),nfall(1),nfall(2),nfall(2),nfall(2),nfall(2),nfall(2)
1.0974127044084873e-05,3.292693605702335e-05,1.788299337668732e-05,3.728333180826198e-05,5.099067230220933e-05,0.0011633520341426968,0.00548323314557036,3.6824499627388356e-05,5.882246656093527e-07,0.00010471139983028434,9.33445926138965e-06,9.341124003360261e-06,0.008478400819984742,9.476249833541886e-06,0.0026705117209109936,1.1080269189512688e-05
1.4469540090827784e-05,1.375070480384755e-05,1.3502770291779826e-05,6.286661978952029e-05,0.00015728197375031595,0.001294183721338399,0.004446281293122965,7.077527412960641e-05,6.786433056252888e-07,7.013287619575474e-05,1.3903152362885262e-05,1.5981047349012554e-05,0.005705387452480774,6.453384580070245e-06,0.010292192015852911,2.166438954900861e-05
1.0021829722302073e-05,2.016388220067444e-05,4.990976973251061e-06,5.7077960266102165e-05,6.879733275173715e-05,0.0005147871053990548,0.004083350404739192,6.461451465229095e-05,1.514389539626137e-06,9.108807890183524e-05,6.709521102036283e-06,3.253855119441175e-06,0.002769977417357038,4.894873219358243e-06,0.009082556062669691,1.5114784022469752e-05
4.745375462846695e-06,3.423901222329441e-05,1.6270134051859218e-05,2.5215952327384705e-05,5.247108216740833e-05,0.0017267334735865203,0.001183057303586051,0.00011797608757118488,2.568675361950202e-07,0.00023158992969994098,1.4580837266064957e-05,9.285543770866104e-06,0.012991962582301989,2.7175027615704513e-06,0.009264073229116657,1.877899860931277e-05
9.353190261145658e-06,9.874582013220224e-06,7.109838322662371e-06,3.227374991348011e-05,7.428208903771797e-05,0.0013218898454022772,0.0018322857822369663,0.00013124107561728003,1.6009565397230663e-06,0.00020452946954579177,2.262003575439981e-05,1.278886350126056e-05,0.003969437432531557,7.588115850069524e-06,0.004805434177545299,4.468298432728914e-06
1.0687143324972724e-05,3.204174228260277e-05,1.7244346484299334e-05,6.60620724966303e-05,7.687449497787943e-05,0.0013199222871963666,0.002954384588374213,8.77640098288566e-05,3.0009084477509314e-07,0.00017172570143226027,5.034334087579985e-06,6.167853556286036e-06,0.009553854192737535,1.1762791485605561e-05,0.0031266657506240072,9.596541397170806e-06
1.7251964531568447e-05,9.168793247902409e-06,2.0277614601014022e-05,6.378323970770262e-05,5.225325843267628e-05,0.0015060912018166708,0.0026945599099888985,8.47470388646692e-05,4.317026741019744e-07,4.828906523652401e-05,2.3407063252788398e-05,1.5654508749234245e-05,0.0034555900377753893,5.400217380958656e-06,0.0028005340130045683,7.643557936779916e-06
6.662383839713369e-06,2.7775613253472964e-05,6.35737559141436e-06,0.00011556141720440498,3.3725383378451164e-05,0.0013580172142895503,0.00172954859098364,0.00012864925016467906,7.374594823929317e-07,0.0002606592415226568,2.2216530478165327e-05,1.266663377437585e-05,0.011155672278774094,6.334841209327691e-06,0.010037071515572007,5.520961470485786e-06
1.7082607937311972e-05,3.4378921847556564e-05,1.9174094303932386e-05,9.906886403974381e-05,3.428091241053467e-05,0.0002883646919133721,0.0014285494718964216,0.00016534505616149132,8.506083222363285e-07,0.00022339916870250454,1.3959147385007119e-05,6.772404741518052e-06,0.004872492541753341,4.3741392045634655e-06,0.007630069167461341,1.031953682253433e-05
1.3138523701163595e-05,8.513521204011915e-06,1.222311628965701e-05,6.0394523998380376e-05,4.2809865951161556e-05,0.0004372535805280208,0.004403500925669075,0.00011418007684629973,1.7166263670624967e-06,4.0305778533401844e-05,2.3342386412638792e-05,1.3795858544188577e-05,0.008748172956389248,2.844623460494812e-06,0.0036104471649950343,1.5304872470391775e-05
1.0040056502046181e-05,3.299678432179293e-05,7.368695625331834e-06,9.804954093339878e-05,8.959662577265365e-05,0.0010915672080725356,0.002301213147663371,0.00011024269613237603,3.2434306134252217e-07,4.308388357136547e-05,1.0342486699257854e-05,9.585063631829925e-06,0.00996189317835822,1.0260625400100452e-05,0.003847124321277051,5.13816298536603e-06
1.1940070049975387e-05,9.313250189150745e-06,2.293038226476049e-05,4.3710256185770846e-05,0.00010340298080714924,0.0009554366488012584,0.004293966088790664,7.282297649013395e-05,5.114219158052175e-07,0.00018941751261288082,7.446392351022493e-06,3.888552381775155e-06,0.002921108493813051,1.3663579268698053e-05,0.011133157951882182,1.8279764821361177e-05
9.087046423279246e-06,1.609209193564865e-05,1.1522086893440242e-05,9.289468978258491e-05,0.00014869600549449155,0.00043969868633219787,0.005569037500806879,3.129449652495859e-05,1.2951021653638064e-06,8.917405402198873e-05,1.122589980761528e-05,8.875183424796536e-06,0.01172161524215971,4.341275816791737e-06,0.003462516602404846,9.378686815859035e-06
8.893335685201352e-06,2.3668942056395567e-05,1.3305530391683417e-05,8.754720135410813e-05,8.395480755385337e-05,0.0004141826657062627,0.003252595771592692,8.320331742364718e-05,6.896263962809166e-07,5.889344723303024e-05,1.3004919206453505e-05,1.3730947044580783e-05,0.01701921349954814,8.227600979207215e-06,0.010380628879037224,1.3695550376593887e-05
1.2775899632282986e-05,9.95518980287515e-06,2.234629643291038e-05,4.602562560635682e-05,0.0001742739321165315,0.0005709311267095591,0.0025069943900646813,6.955119938586337e-05,1.1543630158683145e-06,0.0001534744538700977,1.169733455935537e-05,6.881147671019562e-06,0.008933516095579028,1.2700414288995828e-05,0.010128165119134138,8.275251206897865e-06
1.2413537753197157e-05,1.7266358119800155e-05,8.284904300242377e-06,3.266528098882913e-05,0.00013312769063122734,0.00034811396066688967,0.004056707466688698,5.820081043781863e-05,1.0671933875162132e-06,9.733116894010597e-05,5.11173882445255e-06,8.122024871001413e-06,0.00697778939944275,1.246039443014681e-05,0.011114894840206169,2.1623252825257447e-05
7.863293304759507e-06,2.247713120450391e-05,5.7466991193958814e-06,8.38435534256953e-05,4.942377368716015e-05,0.0009041625951574662,0.005392772135560173,0.00014494201622652025,5.971564956926815e-07,0.00011697433674538674,2.411864062806318e-05,4.834453172920057e-06,0.007665657919964419,1.3404238352392864e-05,0.005202710158985022,1.0358388272177029e-05
1.6405079148129717e-05,2.321786884456507e-05,2.440930236372902e-05,4.492131608041365e-05,0.00014972119413838767,0.0004844286740596012,0.003416280906192688,6.242385724858669e-05,2.861635105127135e-07,0.0002555361296925201,1.0059932571186682e-05,1.2313481783289594e-05,0.01043810268368116,8.268165735366396e-06,0.009875690504381467,7.256707471036077e-06
6.714434865027984e-06,3.377065301204541e-05,1.6763708836898312e-05,9.383851255185865e-05,5.410090826148338e-05,0.0012053373356258027,0.0018911070618722013,0.00016152232829283925,6.234142310173778e-07,0.00016520085207151312,2.2302157486862463e-05,1.0930561941831345e-05,0.012312396201001736,3.843086354361569e-06,0.004788507865610307,5.116928700959649e-06
5.941584729348773e-06,5.0464942439197874e-06,1.6616422372636837e-05,0.00012102236891866676,6.548406593846629e-05,0.0011071977185886789,0.0057577196598199,0.00016553856113351656,1.5797865450711689e-06,0.00012281465426868085,2.5387860185911886e-05,1.7083561082702657e-05,0.015937379785834718,3.1228551783715875e-06,0.003019426999838034,1.8189795246554214e-05
