krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(0),krb(1),krb(1),krb(1),krb(2),krb(2),krb(2),krb(2),krb(2),cfall(0),cfall(0),cfall(0),cfall(0),cfall(0),cfall(0),cfall(0),cfall(0),cfall(1),cfall(1),cfall(1),cfall(2),cfall(2),cfall(2),cfall(2),cfall(2),micbnup,kdcrawc,kdcsoma,kdcsompr,kdcsomcr
-1.1281429403944205,-1.9663735737875063,-0.5135011713305294,-1.1086216589935152,-1.465088655235551,-3.122270384866035,-4.193053041394524,-4.455364211979112,-8.182816193021575,-11.191600138002496,-6.676546019276631,-8.32642688553571,-11.613613813439672,-5.795589966276454,-3.348405876150783,-10.152106731934888,0.07011647685435181,0.05734708086033438,0.09297353977214858,0.08877452485580603,0.06465395034221995,0.0017141588504689307,0.02680895111393052,0.010133335252949889,7.98067981386583e-05,0.0001627606122066409,0.00038048801853417897,7.913511933397962e-05,8.23890436915873e-05,0.00010879439239511728,0.0002721560334097969,0.0004206508193284381,0.8060116166998986,0.13985354992568066,0.04079537192034558,0.025932473038808516,2.996257819710612e-07
-1.1638409141219055,-1.8574372117231235,-0.4663952000064659,-1.1580908562820273,-1.4609132066895163,-2.8610947724619757,-4.825830882749875,-5.263092334276804,-7.04574308058396,-11.412234759472891,-6.8793514210810525,-7.8410342073060715,-10.063331904414659,-5.830528222219172,-2.959729666337701,-10.273877084616055,0.06770741908444945,0.061888758305120604,0.08725127306108593,0.08127108169451763,0.06152669841205193,0.0018123205038226681,0.025202930557239836,0.010589900620249757,7.566445409843836e-05,0.00014894186179512364,0.0003886168081669351,8.151117835587071e-05,8.142964353659737e-05,0.00011529719304197481,0.0002832626154343615,0.0004287591595125841,0.6840259653683114,0.15229268585027406,0.03762549719910659,0.022874610846025267,2.83547491348571e-07
-1.2939767052190803,-2.00937095645017,-0.4681077851190532,-1.3379524491984702,-1.4625863760766937,-2.8201904830422135,-4.084823227597933,-4.7672995440470665,-6.925566100235415,-12.16723436035489,-6.522074655939672,-9.072178636677966,-10.862293892282693,-5.489168251325677,-3.4438525479264133,-10.267980633990412,0.06728718571234074,0.05571969167855503,0.08346268134639168,0.0861801645081714,0.06192710881153106,0.001718043995201785,0.0265908441865555,0.010821550606200216,8.652490492860877e-05,0.00013795152875702843,0.00035860758202374717,8.603870278955548e-05,8.070397132901652e-05,0.00011556354401408881,0.000325376154028541,0.00039358153074717993,0.6795009053329891,0.14589081168268864,0.0419138911859634,0.023340743918625752,3.189974184787957e-07
-1.3063475150157209,-2.1470349340805903,-0.46444677546871466,-1.3077890623266721,-1.5583308694415425,-2.9768161470741945,-4.534619902524581,-5.060963341745032,-8.121364519048214,-10.937150156558495,-6.699901285684577,-9.23231227026197,-11.195338308421203,-5.455780882277361,-3.0610288723998638,-9.278658038494962,0.06295637782483392,0.06296976689159003,0.09821166994160963,0.08057737845414108,0.05793439398342426,0.0017924063896561447,0.026794415697236597,0.01026123127396169,8.136589525464581e-05,0.0001626731468232177,0.0004122013203995158,8.562306005521296e-05,8.86160080897666e-05,0.00011309088127804654,0.0003112816400169145,0.00044200323738591437,0.7664838631779024,0.1562660259831142,0.03785820354508513,0.02340710208183176,2.742571029582209e-07
-1.217414071719982,-1.8100778013931944,-0.5169654378494484,-1.2613898556771879,-1.4209167785799772,-2.881756510810765,-4.235782393826506,-5.29102759543742,-7.052431252618558,-11.005574130842074,-6.275798221023152,-8.707902827097206,-10.567064137875727,-5.4010353922775725,-3.337730949577904,-8.624710991102457,0.06301632937127166,0.055426455427849894,0.09110726741029887,0.08202823692545105,0.056382743838252106,0.0017156579746198434,0.027865360471101965,0.010919169260439388,8.476007934331616e-05,0.00016287494089115348,0.00034850815241662335,7.678632898471625e-05,8.28011499341007e-05,0.00010257431714316759,0.0003260294531313528,0.00037608316001442536,0.7004149212219322,0.14109840926694234,0.03857981538033856,0.02436492422398683,3.1662491117826757e-07
-1.179838046794834,-2.055805777308223,-0.5110440978784091,-1.273640815956382,-1.49972299162844,-3.1982851485089085,-4.776356587461296,-4.976730349638965,-7.397745947579707,-11.253382462988439,-6.451277135955464,-7.955544308392001,-11.933487764257078,-6.224594313454043,-2.9886619845725533,-9.59861291733352,0.06677676456188988,0.05368546206871551,0.08670410280147563,0.07922129947591483,0.06599702789650795,0.0017867149090428944,0.026553025300004047,0.009813890836057501,8.785521584719051e-05,0.0001427300878319254,0.00038339399075771767,7.601929310916393e-05,8.156104080065936e-05,0.00011302991863814532,0.00033185348391834556,0.00039578488721757815,0.7821456053699752,0.13578863543512049,0.038874346695887574,0.023997981918520355,2.8335027049431094e-07
-1.2500936025466887,-1.8786026837498155,-0.5164845657692626,-1.2968527326427597,-1.5061251720405915,-3.334387149153396,-4.897041670454576,-4.590536220258991,-7.485836767638344,-12.872361478548669,-6.482283736167317,-9.089650185209475,-9.977960248209508,-5.477807224052049,-2.8856885515286343,-9.054338543292667,0.06482537421316974,0.05529543909222127,0.08926468459027692,0.08255799463634124,0.05936926488459702,0.0019362022513982652,0.028208198883708152,0.010129628247327039,8.378767439454829e-05,0.0001591129774855988,0.00034329077682361786,8.62538611519229e-05,8.286966682086449e-05,0.00010380558559687707,0.00031689025551897307,0.00041577736687810254,0.7912651380731124,0.15674629800837403,0.03867256610821602,0.023172198400334326,3.013401196854486e-07
-1.143181553261916,-1.9704492255313886,-0.4483559355771765,-1.2057784481197196,-1.4913755000919817,-2.925252207194906,-4.832336537700541,-5.054345144026611,-8.358608717467096,-11.215199789191475,-6.429830682964351,-7.945939615791366,-11.05711005392974,-5.487903712742623,-2.9206340133708126,-10.340517890453837,0.06148831741476422,0.06119468661292511,0.08338271459092964,0.07516167856071494,0.057631263505135345,0.0019309358075346725,0.02468252408878369,0.010848886457445342,7.7777497054554e-05,0.00013930957335168878,0.00039041601976552503,8.293913203555745e-05,7.515062877769664e-05,0.00011553723842489818,0.00029876388285131317,0.00040511058878866634,0.8172304966039092,0.15784171014825374,0.03609436324932803,0.02639399926634122,2.7341701454186475e-07
-1.250627922195324,-2.1018193437934896,-0.45933081812158266,-1.2271578508371888,-1.6317148849684915,-3.13466306617932,-4.338581841420157,-4.6788773240351755,-8.410653016060666,-11.202832788878053,-5.931184679224923,-8.909158108208594,-10.809605516115502,-5.283710040943687,-3.316036770634905,-9.715263949337515,0.07040580518363945,0.06294340534936615,0.0948486262609609,0.07555159240987944,0.05737525389172503,0.0018542144645314921,0.027577414721518742,0.010337893607515906,8.506517333210373e-05,0.0001621592965317686,0.0003455230648154169,8.448934199026755e-05,8.486662967186056e-05,0.0001098318654321939,0.00028975870744173154,0.00041037715920609814,0.82343344273781,0.14673160206279234,0.03665150294283997,0.023819188417726466,3.0868863338301857e-07
-1.2447999880320233,-1.852791310227683,-0.46898665731672107,-1.1641225022451525,-1.4494058126572635,-3.2264305336829286,-4.491412544124072,-5.106679905684928,-7.325245682022674,-10.565914446418574,-6.6736192363060916,-8.917040197801915,-11.638776251067915,-5.309101459687208,-3.3179580637822275,-9.40193093206369,0.05952172341878665,0.054093359347527216,0.09571219067849161,0.08401615158151494,0.061883355365300534,0.0017072544721792068,0.02422029844386463,0.01048872654005648,8.133308870495278e-05,0.00014069336815967782,0.0004003338717591694,7.618805818713695e-05,8.122132740720213e-05,0.0001192639077284132,0.0003045347572914409,0.00039661945858094684,0.7648117897817455,0.15708745486504339,0.0385292155725817,0.024515238294602767,2.836678429122021e-07
