cfall(0),cfall(0),cfall(0),cfall(0),cfall(1),cfall(1),cfall(1),cfall(2),cfall(2),cfall(2)
0.0014386755422804037,0.09466285896407263,0.08775617964148788,0.006368194660933921,0.0024729640358934404,0.0033719342440344316,0.0003808139133098549,0.011101172832679276,0.00987516415970764,0.0015994993493684071
0.0004192833435719109,0.0963520669902555,0.09804212641796317,0.0029685841739688296,0.0027000597114224846,0.0037008541182412054,0.0008928238653558386,0.007277272034281064,0.007574452253532775,0.0007991599491802403
0.0021221363368004523,0.023275459737379676,0.042715612010006336,0.004323984220984485,0.005113415861109915,0.010922111536716163,0.0006753214668893883,0.00715942571023245,0.009756838136523779,0.0003291847924223956
0.002109729173476142,0.026006122884481654,0.01946128312169262,0.009450192727829331,0.009597561891056122,0.011200768177397534,0.0008935966398806111,0.002493927676871499,0.011005569160565335,0.0010850927879800343
0.0007114701163529629,0.054575568089791776,0.016321384562198362,0.00910201953829328,0.003377263838080148,0.009450267412247783,0.0009083590382659749,0.007224761837191482,0.009135259799068603,0.0005949205546090118
0.0031524037279619284,0.07921168845577808,0.10900469161617296,0.008974480683763306,0.006361519813537548,0.012562490820277402,0.0004440644042679926,0.0035950080590944258,0.0023150911291833177,0.0008646342350654674
0.0014793905943057079,0.03487871479610284,0.09766272093715755,0.0042394292749035846,0.00357222368524895,0.008012352997898983,0.0005531223879475064,0.010384606184445245,0.002713888754044883,0.002134822918272993
0.002584064935574373,0.028486979975007168,0.013365464793456884,0.00827606057040254,0.007320344625859029,0.010248086016491848,0.0018642423211067674,0.0022293000994218115,0.006575133908202108,0.000462468594288249
0.0028457378665217086,0.0658502351608251,0.04668395774491127,0.0016593134825170072,0.0038366444310978264,0.005402199864320964,0.0017775808509431735,0.008540643679178388,0.013766093299038043,0.0011466526563109424
0.0007044314283023087,0.07376554127562356,0.0907043889783703,0.006039239338611566,0.007884511183600135,0.0074255471563726885,0.0013472842851145479,0.006188459405615756,0.0020457001237196948,0.0004471515398271445
0.0004505160547777945,0.06700411619121267,0.044990052462215845,0.0055754220822493835,0.009086584970549618,0.0044915067497864995,0.0011135964799141099,0.009862172751682146,0.004811655050686066,0.00038780142687128247
0.0011944841843916517,0.025187473278352385,0.10800103959987947,0.008211459340166868,0.006673953057291725,0.011957527082252612,0.0019316379199501583,0.003489584659523601,0.013838802379463699,0.0012755371044780492
0.0026854276468725,0.0898560343932674,0.04536355583711886,0.0020684569358435548,0.003105829430369086,0.006625293463515075,0.001961470713118786,0.011040182532471049,0.0017945489752241937,0.001220634820948926
